REF_DATE,GEO,DGUID,Type of fuel,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
Apr-79,"Charlottetown and Summerside, Prince Edward Island",,Regular unleaded gasoline at full service filling stations,Cents per litre,57,units ,0,v735056,3.1,25.1,,,t,1
Apr-79,"Halifax, Nova Scotia",2011S0503205,Regular unleaded gasoline at full service filling stations,Cents per litre,57,units ,0,v735057,4.1,23.9,,,t,1
Apr-79,"Saint John, New Brunswick",2011S0503310,Regular unleaded gasoline at full service filling stations,Cents per litre,57,units ,0,v735058,5.1,23.8,,,t,1
Apr-79,"Québec, Quebec",2011S0503421,Regular unleaded gasoline at full service filling stations,Cents per litre,57,units ,0,v735059,6.1,23,,,t,1
Apr-79,"Montréal, Quebec",2011S0503462,Regular unleaded gasoline at full service filling stations,Cents per litre,57,units ,0,v735060,7.1,22.7,,,t,1
Apr-79,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2011S050535505,Regular unleaded gasoline at full service filling stations,Cents per litre,57,units ,0,v735061,8.1,23.6,,,t,1
Apr-79,"Toronto, Ontario",2011S0503535,Regular unleaded gasoline at full service filling stations,Cents per litre,57,units ,0,v735062,9.1,23.4,,,t,1
Apr-79,"Thunder Bay, Ontario",2011S0503595,Regular unleaded gasoline at full service filling stations,Cents per litre,57,units ,0,v735063,10.1,23.4,,,t,1
Apr-79,"Winnipeg, Manitoba",2011S0503602,Regular unleaded gasoline at full service filling stations,Cents per litre,57,units ,0,v735047,11.1,20.4,,,t,1
Apr-79,"Regina, Saskatchewan",2011S0503705,Regular unleaded gasoline at full service filling stations,Cents per litre,57,units ,0,v735048,12.1,21.1,,,t,1
Apr-79,"Saskatoon, Saskatchewan",2011S0503725,Regular unleaded gasoline at full service filling stations,Cents per litre,57,units ,0,v735049,13.1,23.1,,,t,1
Apr-79,"Edmonton, Alberta",2011S0503835,Regular unleaded gasoline at full service filling stations,Cents per litre,57,units ,0,v735050,14.1,18.4,,,t,1
Apr-79,"Calgary, Alberta",2011S0503825,Regular unleaded gasoline at full service filling stations,Cents per litre,57,units ,0,v735051,15.1,19.1,,,t,1
Apr-79,"Vancouver, British Columbia",2011S0503933,Regular unleaded gasoline at full service filling stations,Cents per litre,57,units ,0,v735052,16.1,22.7,,,t,1
May-79,"St. John's, Newfoundland and Labrador",2011S0503001,Regular unleaded gasoline at full service filling stations,Cents per litre,57,units ,0,v735046,2.1,26.5,,,t,1
May-79,"Charlottetown and Summerside, Prince Edward Island",,Regular unleaded gasoline at full service filling stations,Cents per litre,57,units ,0,v735056,3.1,25.3,,,t,1
May-79,"Halifax, Nova Scotia",2011S0503205,Regular unleaded gasoline at full service filling stations,Cents per litre,57,units ,0,v735057,4.1,24,,,t,1
May-79,"Saint John, New Brunswick",2011S0503310,Regular unleaded gasoline at full service filling stations,Cents per litre,57,units ,0,v735058,5.1,23.9,,,t,1
May-79,"Québec, Quebec",2011S0503421,Regular unleaded gasoline at full service filling stations,Cents per litre,57,units ,0,v735059,6.1,23.2,,,t,1
May-79,"Montréal, Quebec",2011S0503462,Regular unleaded gasoline at full service filling stations,Cents per litre,57,units ,0,v735060,7.1,22.9,,,t,1
May-79,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2011S050535505,Regular unleaded gasoline at full service filling stations,Cents per litre,57,units ,0,v735061,8.1,23.5,,,t,1
May-79,"Toronto, Ontario",2011S0503535,Regular unleaded gasoline at full service filling stations,Cents per litre,57,units ,0,v735062,9.1,23.4,,,t,1
May-79,"Thunder Bay, Ontario",2011S0503595,Regular unleaded gasoline at full service filling stations,Cents per litre,57,units ,0,v735063,10.1,23,,,t,1
May-79,"Winnipeg, Manitoba",2011S0503602,Regular unleaded gasoline at full service filling stations,Cents per litre,57,units ,0,v735047,11.1,22.4,,,t,1
May-79,"Regina, Saskatchewan",2011S0503705,Regular unleaded gasoline at full service filling stations,Cents per litre,57,units ,0,v735048,12.1,22.7,,,t,1
May-79,"Saskatoon, Saskatchewan",2011S0503725,Regular unleaded gasoline at full service filling stations,Cents per litre,57,units ,0,v735049,13.1,23.2,,,t,1
May-79,"Edmonton, Alberta",2011S0503835,Regular unleaded gasoline at full service filling stations,Cents per litre,57,units ,0,v735050,14.1,18.6,,,t,1
May-79,"Calgary, Alberta",2011S0503825,Regular unleaded gasoline at full service filling stations,Cents per litre,57,units ,0,v735051,15.1,19.2,,,t,1
May-79,"Vancouver, British Columbia",2011S0503933,Regular unleaded gasoline at full service filling stations,Cents per litre,57,units ,0,v735052,16.1,22.7,,,t,1
Jun-79,"St. John's, Newfoundland and Labrador",2011S0503001,Regular unleaded gasoline at full service filling stations,Cents per litre,57,units ,0,v735046,2.1,26.5,,,t,1
